DEB [20250907-13:31:56.314] thr=1   paramiko.transport: starting thread (client mode): 0x26333f10
DEB [20250907-13:31:56.317] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20250907-13:31:56.328] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.7p1 Ubuntu-7ubuntu4.3
INF [20250907-13:31:56.328] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.7p1)
DEB [20250907-13:31:56.335] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20250907-13:31:56.335] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, ext-info-s, kex-strict-s-v00@openssh.com
DEB [20250907-13:31:56.336] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20250907-13:31:56.336] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20250907-13:31:56.336] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20250907-13:31:56.336] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20250907-13:31:56.337] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20250907-13:31:56.337] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20250907-13:31:56.337] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20250907-13:31:56.337] thr=1   paramiko.transport: client lang: <none>
DEB [20250907-13:31:56.337] thr=1   paramiko.transport: server lang: <none>
DEB [20250907-13:31:56.337] thr=1   paramiko.transport: kex follows: False
DEB [20250907-13:31:56.338] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20250907-13:31:56.338] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20250907-13:31:56.338] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20250907-13:31:56.338] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20250907-13:31:56.338] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20250907-13:31:56.339] thr=1   paramiko.transport: Compression: none
DEB [20250907-13:31:56.339] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20250907-13:31:56.347] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20250907-13:31:56.348] thr=1   paramiko.transport: Switch to new keys ...
DEB [20250907-13:31:56.348] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ssh-ed25519@openssh.com,sk-ecdsa-sha2-nistp256@openssh.com,rsa-sha2-512,rsa-sha2-256', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20250907-13:31:56.349] thr=2   paramiko.transport: Attempting password auth...
DEB [20250907-13:31:56.395] thr=1   paramiko.transport: userauth is OK
INF [20250907-13:31:56.450] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20250907-13:31:56.450] thr=1   paramiko.transport: EOF in transport thread
DEB [20250907-13:32:55.370] thr=1   paramiko.transport: starting thread (client mode): 0x1f620350
DEB [20250907-13:32:55.370] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20250907-13:32:55.380] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_9.7p1 Ubuntu-7ubuntu4.3
INF [20250907-13:32:55.380] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_9.7p1)
DEB [20250907-13:32:55.384] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20250907-13:32:55.385] thr=1   paramiko.transport: kex algos: sntrup761x25519-sha512@openssh.com, curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, ext-info-s, kex-strict-s-v00@openssh.com
DEB [20250907-13:32:55.385] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20250907-13:32:55.385] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20250907-13:32:55.386] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20250907-13:32:55.386] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20250907-13:32:55.386] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20250907-13:32:55.386] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
